"city","admin","population","lng","lat"
"Cochrane","Ontario",4441,-81.016564,49.067017
"Nipigon","Ontario",1204,-88.249973,49.017046
"Atikokan","Ontario",3625,-91.616589,48.750395
"Rimouski","Québec",35584,-68.516681,48.433748
"Saint-Georges","Québec",26149,-70.666653,46.117145
"Victoriaville","Québec",41500,-71.966677,46.050405
"Chevery","Québec",284,-59.609783,50.481323
"Mistassini","Québec",2645,-73.866587,50.417063
"Kangirsuk","Québec",549,-69.999097,60.024823
"Shawinigan","Québec",49161,-72.733323,46.550374
"Matagami","Québec",1966,-77.633282,49.750386
"Mont-Laurier","Québec",11642,-75.500028,46.550374
"Pembroke","Québec",15551,-77.116647,45.850262
"Radisson","Québec",270,-77.616565,53.783628
"Saint John","New Brunswick",87857,-66.076675,45.267042
"Edmundston","New Brunswick",17894,-68.333282,47.379419
"Shelburne","Nova Scotia",3167,-65.319357,43.765609
"Antigonish","Nova Scotia",6739,-61.99819,45.626917
"Windsor","Nova Scotia",3864,-64.12912,44.980599
"Digby","Nova Scotia",3949,-65.760493,44.622585
"Stephenville","Newfoundland and Labrador",7054,-58.566565,48.550407
"Argentia","Newfoundland and Labrador",1063,-53.989997,47.300432
"St. Anthony","Newfoundland and Labrador",224,-55.59995,51.383749
"Channel-Port aux Basques","Newfoundland and Labrador",4220,-59.150044,47.567005
"Buchans","Newfoundland and Labrador",685,-56.866591,48.817032
"Trout River","Newfoundland and Labrador",452,-58.116644,49.483658
"Churchill Falls","Newfoundland and Labrador",100,-63.980679,53.526409
"Forteau","Newfoundland and Labrador",448,-56.949997,51.450385
"Trepassey","Newfoundland and Labrador",398,-53.363291,46.736978
"Brochet","Manitoba",278,-101.666596,57.883223
"Lynn Lake","Manitoba",482,-101.049967,56.85003
"Gillam","Manitoba",1281,-94.699967,56.349983
"North Battleford","Saskatchewan",19440,-108.283349,52.766636
"Prince Albert","Saskatchewan",34609,-105.74999,53.20002
"Courtenay","British Columbia",32793,-124.999978,49.683336
"Kelowna","British Columbia",125109,-119.483312,49.899989
"Pangnirtung","Nunavut",1320,-65.750028,66.133313
"Holman","Northwest Territories",500,-117.749981,70.733369
"Dryden","Ontario",7862,-92.833336,49.78333
"Attawapiskat","Ontario",1802,-82.433325,52.916627
"Hamilton","Ontario",721053,-79.829996,43.249982
"Windsor","Ontario",319246,-83.036853,42.315457
"Trois-Rivières","Québec",119693,-72.549949,46.349973
"Sept-Îles","Québec",25686,-66.360017,50.316088
"Corner Brook","Newfoundland and Labrador",20791,-57.933348,48.949995
"Norway House","Manitoba",6000,-97.83329,53.966588
"Flin Flon","Manitoba",6393,-101.883301,54.766591
"Dauphin","Manitoba",9077,-100.04995,51.150016
"The Pas","Manitoba",6055,-101.233315,53.816623
"Uranium City","Saskatchewan",89,-108.616585,59.566557
"Moose Jaw","Saskatchewan",32166,-105.550002,50.399984
"Jasper","Alberta",3907,-118.083371,52.883321
"Medicine Hat","Alberta",63138,-110.683332,50.033314
"Red Deer","Alberta",74857,-113.800041,52.26664
"Banff","Alberta",7502,-115.571923,51.177999
"Grand Prairie","Alberta",41462,-118.799994,55.166644
"Smithers","British Columbia",6245,-127.16659,54.766591
"Kamloops","British Columbia",68714,-120.333286,50.666661
"Williams Lake","British Columbia",14168,-122.149997,52.11665
"Prince George","British Columbia",65558,-122.766652,53.916669
"Fort Nelson","British Columbia",6315,-122.532971,58.816706
"Pond Inlet","Nunavut",1549,-78.000056,72.684981
"Cape Dorset","Nunavut",1326,-76.538579,64.31252
